id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date_of_data_download,days_since_last_review
5506,**$79 Special **   Private! Minutes to center!,8229,Roxbury,42.329809999999995,-71.09559,Entire home/apt,145,3,106,2019-10-31,0.81,6,27,2020-01-31,92 days 00:00:00.000000000
6695,$99 Special!! Home Away! Condo,8229,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,115,2019-11-02,0.91,6,18,2020-01-31,90 days 00:00:00.000000000
8789,Curved Glass Studio/1bd facing Park,26988,Downtown,42.359190000000005,-71.06265,Entire home/apt,99,32,24,2019-09-30,0.37,10,186,2020-01-31,123 days 00:00:00.000000000
10730,Bright 1bed facing Golden Dome,26988,Downtown,42.3584,-71.06185,Entire home/apt,150,91,30,2019-09-14,0.24,10,240,2020-01-31,139 days 00:00:00.000000000
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Back Bay,42.34973,-71.08792,Entire home/apt,84,90,9,2019-07-22,0.19,7,336,2020-01-31,193 days 00:00:00.000000000
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Back Bay,42.34961,-71.08904,Entire home/apt,179,33,78,2019-11-30,1.81,7,0,2020-01-31,62 days 00:00:00.000000000
10986,Waterfront/North End Furnished Large Studio Apt,38997,North End,42.36352,-71.05075,Entire home/apt,125,91,2,2016-05-23,0.05,7,364,2020-01-31,1348 days 00:00:00.000000000
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Dorchester,42.32329,-71.0621,Entire home/apt,150,32,52,2019-10-05,0.45,22,0,2020-01-31,118 days 00:00:00.000000000
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,South End,42.34496,-71.07486,Private room,148,2,315,2019-11-12,3.1,5,0,2020-01-31,80 days 00:00:00.000000000
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,North End,42.363659999999996,-71.05023,Entire home/apt,290,2,103,2019-10-03,0.93,1,198,2020-01-31,120 days 00:00:00.000000000
27611,One Bedroom Studio Garden Apartment,119381,Jamaica Plain,42.31557,-71.11483,Entire home/apt,185,3,18,2019-10-23,0.27,1,342,2020-01-31,100 days 00:00:00.000000000
29765,"Luxury suite, Moroccan furnishings",128280,Charlestown,42.37834,-71.06663,Entire home/apt,221,2,93,2018-10-21,0.8,3,266,2020-01-31,467 days 00:00:00.000000000
40601,Private room & bath - Jamaica Plain,174986,Jamaica Plain,42.3151,-71.11108,Private room,95,6,75,2019-11-04,0.66,1,0,2020-01-31,88 days 00:00:00.000000000
44205,Elegance at Salem Street Court,128280,Charlestown,42.37655,-71.06676999999999,Entire home/apt,184,2,82,2019-04-16,0.73,3,223,2020-01-31,290 days 00:00:00.000000000
45987,Gorgeous Garden Studio Charlestown,205107,Charlestown,42.37404,-71.06118000000001,Entire home/apt,125,3,129,2019-11-02,1.14,1,84,2020-01-31,90 days 00:00:00.000000000
60029,Room in geographical heart of Hub,255183,Roxbury,42.32584,-71.08927,Private room,75,2,141,2019-08-13,1.3,5,62,2020-01-31,171 days 00:00:00.000000000
60356,Bookcase 1bd facing Boston Common,26988,Downtown,42.35712,-71.0618,Entire home/apt,175,32,18,2018-11-05,0.24,10,242,2020-01-31,452 days 00:00:00.000000000
67774,Corner 1 bed facing Golden Dome,26988,Beacon Hill,42.358670000000004,-71.06331999999999,Entire home/apt,110,32,44,2019-10-30,0.51,10,270,2020-01-31,93 days 00:00:00.000000000
69369,Room in Boston off the beaten path,255183,Roxbury,42.32614,-71.0884,Private room,79,2,120,2019-11-15,1.15,5,73,2020-01-31,77 days 00:00:00.000000000
77681,Waterfall Room: Bunker Hill B&B,416912,Charlestown,42.37853,-71.06177,Private room,140,2,54,2019-11-02,0.54,1,361,2020-01-31,90 days 00:00:00.000000000
95453,Royal Street Studio: Allston,508268,Allston,42.35937,-71.13156,Entire home/apt,175,5,41,2019-10-13,0.39,1,365,2020-01-31,110 days 00:00:00.000000000
163941,$99* SPECIAL* 2 bed ApT! Location!,8229,Roxbury,42.32965,-71.09503000000001,Entire home/apt,225,3,226,2019-11-11,2.24,6,0,2020-01-31,81 days 00:00:00.000000000
169430,Stylish + Comfortable Urban Victorian,807320,Roxbury,42.32158,-71.09047,Entire home/apt,200,2,147,2019-11-03,1.46,1,9,2020-01-31,89 days 00:00:00.000000000
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jamaica Plain,42.3132,-71.11832,Private room,85,30,42,2019-10-31,0.42,1,60,2020-01-31,92 days 00:00:00.000000000
197972,Perfect Location--Super Studio!,965697,Jamaica Plain,42.31732,-71.10834,Entire home/apt,90,2,386,2019-11-10,3.9,2,0,2020-01-31,82 days 00:00:00.000000000
210097,Treetop Haven in the City,1035747,Jamaica Plain,42.31864,-71.10641,Private room,110,3,191,2019-11-22,1.91,1,233,2020-01-31,70 days 00:00:00.000000000
211921,Boston Loft: 7 Skylights!,1092168,Roslindale,42.28143,-71.12576,Entire home/apt,300,45,68,2015-06-15,0.69,1,365,2020-01-31,1691 days 00:00:00.000000000
220676,Private room off the Freedom Trail.,1144302,North End,42.365390000000005,-71.05438000000001,Private room,95,2,250,2019-11-13,2.51,1,89,2020-01-31,79 days 00:00:00.000000000
225224,4th floor office room,85770,South End,42.34643,-71.07503,Private room,105,2,316,2019-11-04,3.19,5,0,2020-01-31,88 days 00:00:00.000000000
225979,Cozy Room & Fresh Roasted Coffee,1176995,Roslindale,42.28145,-71.12925,Private room,55,28,101,2019-11-14,1.01,1,0,2020-01-31,78 days 00:00:00.000000000
257588,BOSTON LUXURY FOR LESS!!! NEAR BCEC,1355344,South Boston,42.330659999999995,-71.03984,Entire home/apt,200,1,323,2019-11-10,3.6,1,232,2020-01-31,82 days 00:00:00.000000000
276450,19th Century Luxury | South End | 1BR 1BA #3,814298,Roxbury,42.33814,-71.08001,Entire home/apt,167,29,92,2019-10-28,1.0,94,89,2020-01-31,95 days 00:00:00.000000000
295285,"Single Bedroom, Quiet Neighborhood",1271326,West Roxbury,42.28719,-71.16816,Private room,80,1,27,2019-08-23,0.34,1,207,2020-01-31,161 days 00:00:00.000000000
307571,Beacon Hill Floorthrough Brownstone,26988,Beacon Hill,42.35881,-71.06546999999999,Entire home/apt,150,30,17,2018-07-30,0.42,10,306,2020-01-31,550 days 00:00:00.000000000
315982,Beautiful Two BR & Two Bathroom Townhouse,119019,Dorchester,42.29929,-71.05996999999999,Entire home/apt,196,29,280,2019-11-30,3.05,2,0,2020-01-31,62 days 00:00:00.000000000
318050,"South End Room on park by T, Prudential & Back Bay",1632478,South End,42.3398,-71.07853,Private room,99,2,311,2019-11-24,3.28,1,0,2020-01-31,68 days 00:00:00.000000000
322593,"""Chef""Kitch, 12 MintoPru, Patio, 50%off DailyRate",1651480,South End,42.34349,-71.0768,Entire home/apt,193,3,405,2019-11-16,4.97,4,250,2020-01-31,76 days 00:00:00.000000000
349347,Experience Past|Enjoy Present|South End Studio #2,814298,Roxbury,42.33824,-71.08171999999999,Entire home/apt,167,29,111,2019-09-19,1.21,94,117,2020-01-31,134 days 00:00:00.000000000
349409,Family Home in Great Area,1770277,Jamaica Plain,42.32443,-71.10651999999999,Entire home/apt,250,5,5,2015-08-24,0.06,1,0,2020-01-31,1621 days 00:00:00.000000000
400067,Private Room in Spacious Apartment1,1997048,Dorchester,42.30088,-71.0819,Private room,60,91,24,2019-10-07,0.31,4,304,2020-01-31,116 days 00:00:00.000000000
447826,"Sweet Little House in JP, Boston",2053557,Jamaica Plain,42.31713,-71.10965999999999,Private room,71,3,311,2019-11-10,3.43,1,249,2020-01-31,82 days 00:00:00.000000000
496022,"Private Floor, Private Bath, City Location",1956464,Jamaica Plain,42.3092,-71.11836,Private room,200,2,16,2016-06-26,0.21,1,0,2020-01-31,1314 days 00:00:00.000000000
519272,"Cozy Room + Private Bath, JP Boston",2444900,Jamaica Plain,42.30511,-71.10643,Private room,62,3,9,2016-05-31,0.13,1,0,2020-01-31,1340 days 00:00:00.000000000
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,South End,42.34523,-71.07282,Private room,148,2,175,2019-10-31,1.93,5,87,2020-01-31,92 days 00:00:00.000000000
530983,The Grand View | 5BR 2BA | Victorian Home,71783,Dorchester,42.31419,-71.06000999999999,Entire home/apt,175,32,67,2019-10-29,0.78,22,229,2020-01-31,94 days 00:00:00.000000000
533114,The Sawyer | 2BR 2.5BA | 1st Floor,71783,Dorchester,42.31167,-71.06168000000001,Entire home/apt,168,32,53,2019-09-05,0.6,22,154,2020-01-31,148 days 00:00:00.000000000
533152,The Penthouse | 2BR 1BA | 4th Floor,71783,Dorchester,42.32189,-71.06183,Entire home/apt,125,32,54,2019-06-13,0.79,22,318,2020-01-31,232 days 00:00:00.000000000
561769,The Sky View | 3BR 1BA | 3rd Floor,71783,Dorchester,42.31324,-71.06241999999999,Entire home/apt,142,32,59,2019-09-02,0.66,22,247,2020-01-31,151 days 00:00:00.000000000
568234,City's Hippest Location/Two Bedrooms,2796082,Jamaica Plain,42.30335,-71.10497,Private room,110,1,266,2019-12-02,2.96,2,0,2020-01-31,60 days 00:00:00.000000000
570493,"2 Bedrms, 2 Priv Bath&Priv Entrance",914630,Dorchester,42.288470000000004,-71.05476999999999,Private room,152,3,94,2019-10-27,1.23,1,89,2020-01-31,96 days 00:00:00.000000000
579605,The Mayhew | 2BR 1BA | 3rd Floor,71783,Dorchester,42.3228,-71.06184,Entire home/apt,125,32,50,2019-11-03,0.56,22,112,2020-01-31,89 days 00:00:00.000000000
583255,"Boston Beauty, Walk to C and B line",306407,Brighton,42.34171,-71.14851,Entire home/apt,149,3,20,2019-02-09,0.39,1,0,2020-01-31,356 days 00:00:00.000000000
585148,Trendy Loft in the South End,2883829,South End,42.33818,-71.06463000000001,Entire home/apt,210,180,33,2017-10-06,0.51,1,306,2020-01-31,847 days 00:00:00.000000000
601763,The Alameda 2 | 2BR 1BA | Brookline Area,71783,West Roxbury,42.29118,-71.15316,Entire home/apt,125,32,37,2019-08-27,1.14,22,230,2020-01-31,157 days 00:00:00.000000000
619142, Getaway in Historic Charlestown,501427,Charlestown,42.37808,-71.06343000000001,Entire home/apt,175,3,169,2019-10-25,1.9,1,165,2020-01-31,98 days 00:00:00.000000000
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,South Boston,42.33477,-71.04995,Private room,188,1,7,2019-06-13,0.17,1,173,2020-01-31,232 days 00:00:00.000000000
658029,Trendy Fun Spot|Historic South End |1BR 1BA #1,814298,Roxbury,42.33923,-71.08140999999999,Entire home/apt,163,91,117,2019-09-16,1.33,94,129,2020-01-31,137 days 00:00:00.000000000
697078,Spacious 1 bed facing State House,26988,Beacon Hill,42.35893,-71.06331,Entire home/apt,175,91,19,2019-07-22,0.35,10,303,2020-01-31,193 days 00:00:00.000000000
708802,Boston / Charlestown Apartment,3648427,Charlestown,42.37755,-71.0628,Entire home/apt,100,2,369,2019-11-17,4.24,1,0,2020-01-31,75 days 00:00:00.000000000
713627,"Retro Cool Artist's House, Parking",3581975,Jamaica Plain,42.30957,-71.10629,Entire home/apt,135,5,1,2014-10-09,0.02,1,0,2020-01-31,1940 days 00:00:00.000000000
743211,Unique Find: Private home in City!,2796082,Jamaica Plain,42.30581,-71.1126,Entire home/apt,550,3,71,2019-10-21,0.87,2,333,2020-01-31,102 days 00:00:00.000000000
743759,Cozy Room & Bathroom: No Kitchen,7969,Roslindale,42.29424,-71.13183000000001,Private room,25,90,5,2019-09-30,0.06,2,0,2020-01-31,123 days 00:00:00.000000000
750438,"Private room, 7 min to subway, verdant & peaceful",3945438,Jamaica Plain,42.30681,-71.11052,Private room,65,2,195,2019-11-02,2.46,2,26,2020-01-31,90 days 00:00:00.000000000
753446,6 miles away from downtown Boston!,3962517,Roslindale,42.28588,-71.12491,Private room,50,2,142,2019-07-27,2.75,1,0,2020-01-31,188 days 00:00:00.000000000
798957,★2-Story★WalkScore95 ★ 1200ft² ★ 2 Baths,1651480,South End,42.34121,-71.07571,Entire home/apt,347,3,398,2019-12-01,4.97,4,92,2020-01-31,61 days 00:00:00.000000000
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Roxbury,42.328520000000005,-71.09539000000001,Entire home/apt,169,3,54,2019-11-25,0.63,6,23,2020-01-31,67 days 00:00:00.000000000
801722,$79 Special!!  Minutes to Center!  Private Space,8229,Roxbury,42.32819,-71.09405,Entire home/apt,149,3,54,2019-10-17,0.64,6,27,2020-01-31,106 days 00:00:00.000000000
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Downtown,42.35628,-71.06141,Entire home/apt,275,2,74,2019-11-17,0.92,2,71,2020-01-31,75 days 00:00:00.000000000
826706,Private Room in Spacious Apartment3,1997048,Dorchester,42.29996,-71.0806,Private room,79,91,7,2015-09-29,0.09,4,364,2020-01-31,1585 days 00:00:00.000000000
839265,Private Room in Spacious Apartment2,1997048,Dorchester,42.29822,-71.07621,Private room,61,91,26,2019-09-30,0.31,4,273,2020-01-31,123 days 00:00:00.000000000
849408,"Perfect & Practical Boston Rental (1,000+ sqft)",4434391,Roslindale,42.28882,-71.13951,Entire home/apt,239,3,149,2019-11-04,2.07,3,152,2020-01-31,88 days 00:00:00.000000000
863788,2 BR. Roof Deck-city views! Heart of South End.,775932,South End,42.34367,-71.0708,Entire home/apt,385,2,8,2019-09-20,0.1,1,22,2020-01-31,133 days 00:00:00.000000000
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,North End,42.36853,-71.05363,Entire home/apt,125,2,392,2019-11-18,4.8,1,118,2020-01-31,74 days 00:00:00.000000000
894539,Private room in house,4762495,Roslindale,42.2909,-71.13024,Private room,90,2,58,2019-10-05,0.78,3,358,2020-01-31,118 days 00:00:00.000000000
962610,Convenient Boston Hotel Alternative,4434391,West Roxbury,42.29053,-71.14106,Entire home/apt,119,3,90,2019-11-11,1.17,3,124,2020-01-31,81 days 00:00:00.000000000
989163,"Work Stay Retreat | Modern, Central & Peaceful",5430185,South End,42.342859999999995,-71.07339,Entire home/apt,195,3,46,2019-11-20,0.6,7,168,2020-01-31,72 days 00:00:00.000000000
990668,✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,1651480,South End,42.34146,-71.07641,Private room,156,3,280,2019-11-28,3.54,4,0,2020-01-31,64 days 00:00:00.000000000
1009275,Urban Treehouse,868067,South Boston,42.33269,-71.04536,Private room,120,1,81,2019-11-11,2.44,2,0,2020-01-31,81 days 00:00:00.000000000
1038465,HANCOCK TOWER/COPLEY ROOM,85770,South End,42.34644,-71.07481,Private room,140,2,255,2019-11-03,3.15,5,87,2020-01-31,89 days 00:00:00.000000000
1042420,"Easy access to Airport, Downtown, Seaport. Fenway",5715872,East Boston,42.38362,-71.02023,Entire home/apt,170,2,87,2018-11-16,1.11,1,217,2020-01-31,441 days 00:00:00.000000000
1055627,Spacious 1 bdrm in Beacon Hill ,4299002,Beacon Hill,42.36076,-71.06399,Entire home/apt,125,91,8,2018-09-09,0.1,2,0,2020-01-31,509 days 00:00:00.000000000
1058448,Private room in Boston,3920014,Jamaica Plain,42.31218,-71.10473,Private room,80,1,40,2019-10-20,0.49,1,329,2020-01-31,103 days 00:00:00.000000000
1071235,Cozy JP Studio-Great Location!,965697,Jamaica Plain,42.317479999999996,-71.10819000000001,Entire home/apt,90,2,321,2019-11-17,4.01,2,158,2020-01-31,75 days 00:00:00.000000000
1074406,Extremely Convenient & Clean Studio,778098,Fenway,42.34352,-71.09614,Entire home/apt,155,4,96,2019-11-03,1.21,1,0,2020-01-31,89 days 00:00:00.000000000
1077105,"Studio Apt. for Rent in South End, ",5927277,South End,42.34022,-71.075,Entire home/apt,176,1,0,,,1,0,2020-01-31,
1090413,HynesConventionCtr-5min-Lge Rm-Pvt Bath,1984434,Back Bay,42.34502,-71.0803,Private room,100,3,164,2019-11-23,2.51,3,356,2020-01-31,69 days 00:00:00.000000000
1090545,BostonCtrBackBay-Pvt Bath&Rm-Comfy Bed,1984434,Back Bay,42.34373,-71.08224,Private room,100,3,116,2019-11-21,1.47,3,346,2020-01-31,71 days 00:00:00.000000000
1092093,Duplex Penthouse in Longwood Area,26988,Mission Hill,42.33285,-71.10115,Entire home/apt,95,32,32,2019-05-18,0.4,10,0,2020-01-31,258 days 00:00:00.000000000
1109224,4 bedroom Victorian Condo unit,1531239,Jamaica Plain,42.32051,-71.11216,Entire home/apt,439,2,73,2019-11-10,0.96,1,342,2020-01-31,82 days 00:00:00.000000000
1136972,Boston Room/Free Transit/ By Subway,1480518,Jamaica Plain,42.29444,-71.11995,Private room,60,1,344,2017-06-20,4.35,4,0,2020-01-31,955 days 00:00:00.000000000
1161210,Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费｡｡,3887707,West Roxbury,42.27176,-71.16759,Private room,70,1,209,2019-08-16,2.64,1,52,2020-01-31,168 days 00:00:00.000000000
1167221,BOSTON 2 Room + private bath for 3 walk to Train,6391436,Jamaica Plain,42.30777,-71.11626,Private room,90,1,245,2019-11-24,3.54,3,72,2020-01-31,68 days 00:00:00.000000000
1167987,Long-term Rental: Single Room/Sh Bath/No Cooking,7969,Roslindale,42.29317,-71.13016,Private room,26,90,8,2019-04-13,0.11,2,365,2020-01-31,293 days 00:00:00.000000000
1171578, Private Room in a One Family House,3765817,Brighton,42.353840000000005,-71.16795,Private room,99,1,248,2019-11-17,3.25,1,361,2020-01-31,75 days 00:00:00.000000000
1187188,Entire loft in Boston,2238969,Jamaica Plain,42.30693,-71.10789,Entire home/apt,136,91,28,2019-07-23,0.41,1,343,2020-01-31,192 days 00:00:00.000000000
1197857,19th Century on Tremont | Modern Unit 1BR 1BA #6,1444340,Roxbury,42.33852,-71.07985,Entire home/apt,167,29,119,2019-09-23,1.52,19,123,2020-01-31,130 days 00:00:00.000000000
1200502,Charming Garden Studio In South End,6557340,South End,42.338429999999995,-71.07685,Entire home/apt,165,2,94,2019-10-18,1.26,1,291,2020-01-31,105 days 00:00:00.000000000
1220971,Boston Huge 1BR Best location (h2b),5578043,North End,42.3651,-71.05365,Entire home/apt,149,28,144,2019-11-03,2.01,10,289,2020-01-31,89 days 00:00:00.000000000
1222327,"Cozy, 2 bdr,  2 baths, house near medical area!",6668129,Jamaica Plain,42.324729999999995,-71.10792,Entire home/apt,121,5,15,2019-10-12,0.27,1,20,2020-01-31,111 days 00:00:00.000000000
1252489,Beacon Hill 1-Bed,6824319,Beacon Hill,42.36105,-71.06593000000001,Entire home/apt,200,2,65,2017-08-28,0.82,1,0,2020-01-31,886 days 00:00:00.000000000
1275498,Sun Filled With Sophisticated Charm,5430185,South End,42.34405,-71.07352,Entire home/apt,160,3,36,2019-11-21,0.47,7,174,2020-01-31,71 days 00:00:00.000000000
1278391,Perfect Back Bay get away! ,6957165,Back Bay,42.34853,-71.08549000000001,Entire home/apt,199,1,35,2015-05-31,0.52,1,0,2020-01-31,1706 days 00:00:00.000000000
1321422,Barney's Master Bedroom T Downtown,6608084,Dorchester,42.30838,-71.04694,Private room,76,1,554,2019-11-25,7.13,6,255,2020-01-31,67 days 00:00:00.000000000
1327725,Modern 2 BR in Brighton with Parking,7205617,Brighton,42.34567,-71.13922,Entire home/apt,147,3,247,2019-11-24,3.18,1,146,2020-01-31,68 days 00:00:00.000000000
1332786,Cozy One Person Only - Quick Downtown,6608084,Dorchester,42.30922,-71.04564,Private room,47,1,408,2019-11-27,5.25,6,0,2020-01-31,65 days 00:00:00.000000000
1374434,"Authentic Boston, cozy room",255183,Roxbury,42.32497,-71.08949,Private room,65,91,39,2019-09-24,0.52,5,52,2020-01-31,129 days 00:00:00.000000000
1374466,"Real Boston, off the beaten track",255183,Roxbury,42.32642,-71.09013,Private room,67,91,37,2019-08-30,0.51,5,105,2020-01-31,154 days 00:00:00.000000000
1403408,Big Boston room,255183,Roxbury,42.32465,-71.08869,Private room,70,30,18,2019-06-29,0.23,5,32,2020-01-31,216 days 00:00:00.000000000
1425973,Historic brick Victorian row house ,1015632,South End,42.33937,-71.08026,Private room,350,29,25,2019-09-06,0.33,1,65,2020-01-31,147 days 00:00:00.000000000
1426754,Boston Best furnished Studio (H2a),5578043,North End,42.36482,-71.05371,Entire home/apt,99,28,232,2019-10-13,3.04,10,0,2020-01-31,110 days 00:00:00.000000000
1445064,Bright Sunlit bedroom near Spaulding/Downtown,4724006,Charlestown,42.37963,-71.06192,Private room,68,28,102,2019-09-27,1.34,1,106,2020-01-31,126 days 00:00:00.000000000
1454258,Inviting Queen Anne Victorian,7799789,Dorchester,42.308440000000004,-71.0464,Private room,80,1,311,2019-11-05,4.04,3,0,2020-01-31,87 days 00:00:00.000000000
1472481,John and Robert's Harbor View,6608084,Dorchester,42.30977,-71.04715,Private room,75,1,547,2019-11-27,7.21,6,283,2020-01-31,65 days 00:00:00.000000000
1472520,Andrea's Private Bath T Downtown,6608084,Dorchester,42.30811,-71.0462,Private room,83,1,60,2019-11-30,9.78,6,0,2020-01-31,62 days 00:00:00.000000000
1494726,Cozy in Rozzie!,7506913,Roslindale,42.27572,-71.13014,Private room,75,28,15,2019-08-23,0.23,1,0,2020-01-31,161 days 00:00:00.000000000
1510876,Room with Sleeper Sofa Bed,7799789,Dorchester,42.310190000000006,-71.04829000000001,Private room,60,1,45,2019-08-09,0.59,3,352,2020-01-31,175 days 00:00:00.000000000
1541166,Beautiful Studio 15 min to Downtown,552418,Charlestown,42.38159,-71.07892,Entire home/apt,109,2,38,2019-09-27,0.51,1,3,2020-01-31,126 days 00:00:00.000000000
1544144,Charming Historic Home in Charlestown,7353037,Charlestown,42.37203,-71.06165,Entire home/apt,350,3,12,2019-10-21,0.63,1,325,2020-01-31,102 days 00:00:00.000000000
1544702,Mary's Ocean View Metro Downtown,6608084,Dorchester,42.30945,-71.04555,Private room,77,1,554,2019-12-03,7.3,6,223,2020-01-31,59 days 00:00:00.000000000
1545185,Large 1Bed w/ Gorgeous Kitchen + Bath,697401,Brighton,42.3484,-71.15696,Entire home/apt,140,1,118,2019-11-30,1.57,3,147,2020-01-31,62 days 00:00:00.000000000
1584362,Grace's Harborview Fast T Downtown,6608084,Dorchester,42.3105,-71.04812,Private room,63,1,599,2019-11-25,7.96,6,248,2020-01-31,67 days 00:00:00.000000000
1587540,Cozy House on Bunker Hill in Boston,2004732,Charlestown,42.3789,-71.06118000000001,Entire home/apt,299,3,38,2019-06-09,0.56,1,170,2020-01-31,236 days 00:00:00.000000000
1596470,3-story Luxury in Central Location,480310,Downtown,42.35049,-71.06985999999999,Entire home/apt,265,28,139,2018-12-28,1.84,1,69,2020-01-31,399 days 00:00:00.000000000
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,Roxbury,42.32502,-71.09479,Private room,78,60,19,2019-07-14,0.94,3,0,2020-01-31,201 days 00:00:00.000000000
1644031,Large Private bedroom by Seaport,8725557,South Boston Waterfront,42.34017,-71.04763,Private room,105,1,245,2019-11-13,5.33,1,103,2020-01-31,79 days 00:00:00.000000000
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Roslindale,42.281940000000006,-71.13337,Private room,53,28,36,2019-09-23,0.48,2,337,2020-01-31,130 days 00:00:00.000000000
1677807,"Sunny, welcoming 2 - bedroom condo in Boston",4192881,Brighton,42.34923,-71.17173000000001,Entire home/apt,95,91,45,2015-10-28,0.6,1,0,2020-01-31,1556 days 00:00:00.000000000
1682936,Charming 2 level Apartment,8898973,Roxbury,42.32371,-71.09458000000001,Entire home/apt,150,2,205,2019-11-11,2.92,2,0,2020-01-31,81 days 00:00:00.000000000
1692573,Urban oasis trendy JP 'hood - suite,8814724,Jamaica Plain,42.31338,-71.11719000000001,Entire home/apt,145,2,207,2019-11-10,2.78,1,0,2020-01-31,82 days 00:00:00.000000000
1732804,Private room in Boston,9090219,Dorchester,42.290409999999994,-71.05853,Private room,70,1,125,2019-11-03,1.67,1,348,2020-01-31,89 days 00:00:00.000000000
1754939,"Gorgeous, spacious townhouse in Boston",9228417,Jamaica Plain,42.31227,-71.10086,Entire home/apt,165,1,18,2019-07-10,0.46,1,1,2020-01-31,205 days 00:00:00.000000000
1757417,Queen in Arts & Crafts Bungalow,9241244,West Roxbury,42.27754,-71.14348000000001,Private room,60,1,69,2019-10-08,1.38,3,7,2020-01-31,115 days 00:00:00.000000000
1810172,Room for 2 in Rozzie - Full Bath,8834105,Roslindale,42.282090000000004,-71.13335,Private room,67,28,37,2019-10-12,0.5,2,365,2020-01-31,111 days 00:00:00.000000000
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,South End,42.34364,-71.07024,Entire home/apt,900,4,41,2019-10-23,0.62,1,187,2020-01-31,100 days 00:00:00.000000000
1815326,Back Bay Elegance in Brighton,9508341,Brighton,42.355090000000004,-71.16242,Private room,99,1,300,2019-11-09,4.5,2,334,2020-01-31,83 days 00:00:00.000000000
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Fenway,42.349470000000004,-71.09265,Entire home/apt,235,31,2,2018-05-24,0.04,4,309,2020-01-31,617 days 00:00:00.000000000
1821633,Queen Size Four Poster Bed,7799789,Dorchester,42.30958,-71.04791999999999,Private room,100,1,210,2019-10-27,2.83,3,357,2020-01-31,96 days 00:00:00.000000000
1863443,Perfect location in Fenway - washer/dryer & WIFI,9419684,Fenway,42.3446,-71.10172,Entire home/apt,213,29,6,2017-04-29,0.09,68,118,2020-01-31,1007 days 00:00:00.000000000
1867834,Lux 2 Bedroom Apt Near Waterfront w/wifi,9419684,West End,42.36449,-71.069,Entire home/apt,293,91,4,2014-09-19,0.06,68,26,2020-01-31,1960 days 00:00:00.000000000
1867881,"Lux 2 Bedroom near Charles St w/gym, & WiFi",9419684,West End,42.365120000000005,-71.06926,Entire home/apt,312,29,6,2018-04-17,0.09,68,119,2020-01-31,654 days 00:00:00.000000000
1868004,Lux 1 Bedroom near Charles St w/gym & WiFi,9419684,West End,42.36325,-71.06736,Entire home/apt,217,91,6,2015-04-26,0.09,68,27,2020-01-31,1741 days 00:00:00.000000000
1868124,Perfectly located in Boston Theatre District,9419684,Downtown,42.35131,-71.06351,Entire home/apt,244,29,10,2019-02-01,0.15,68,118,2020-01-31,364 days 00:00:00.000000000
1881298,Private Apartment- Minutes from T!,1920539,Jamaica Plain,42.300259999999994,-71.11180999999999,Entire home/apt,130,1,507,2019-11-30,6.87,1,251,2020-01-31,62 days 00:00:00.000000000
1885386,Boston Large Private Bedroom  - walk to Train,6391436,Jamaica Plain,42.30885,-71.11643000000001,Private room,85,1,240,2019-11-17,3.44,3,77,2020-01-31,75 days 00:00:00.000000000
1885825,Boston WALK TO TRAIN Room for 3 private bath,6391436,Jamaica Plain,42.30968,-71.1176,Private room,70,1,268,2019-11-22,3.88,3,0,2020-01-31,70 days 00:00:00.000000000
1886037,Beautiful Penthouse in Beacon Hill,1587128,Beacon Hill,42.36056,-71.07141,Entire home/apt,230,7,1,2015-07-24,0.02,1,0,2020-01-31,1652 days 00:00:00.000000000
1887507,Location!! Downtown Near Waterfront,970787,South Boston,42.34066,-71.05117,Private room,100,2,71,2018-11-17,0.96,2,59,2020-01-31,440 days 00:00:00.000000000
1887581,"Beautiful 2bdrm, Near Convention Ctr, Waterfront",970787,South Boston,42.34098,-71.05023,Entire home/apt,250,2,137,2019-10-26,1.86,2,119,2020-01-31,97 days 00:00:00.000000000
1935042,Cozy Room in Quaker Community,10013311,Beacon Hill,42.35706,-71.06618,Private room,110,91,222,2019-11-17,3.1,2,145,2020-01-31,75 days 00:00:00.000000000
1944976,1 room with queen bed in Boston...,10060070,Dorchester,42.311609999999995,-71.04613,Private room,76,2,5,2015-09-06,0.09,1,0,2020-01-31,1608 days 00:00:00.000000000
